#N    (0,0)    (1,1)    (2,1)    (3,1)
#- -------- -------- -------- --------
10     4268     6300     5570     4268
11    11379    16742    14334    11379
12    29472    43472    38316    29472
13    78434   115421    99117    78434
14   203739   300433   264235   203739
15   541422   797137   685851   541422
16  1409539  2078243  1824875  1409539
17  3741997  5510907  4748493  3741997
18  9758256 14387069 12617423  9758256
19 25885698 38130894 32891904 25885698
20 67592411 99655040 87310954 67592411
