#N   (0,-1)    (1,0)    (2,1)    (3,2)    (4,3)    (5,4)    (6,5)    (7,5)
#- -------- -------- -------- -------- -------- -------- -------- --------
10     5815     4990     4779     4647     4538     4409     4113     5815
11    15167    13136    12681    12365    12040    11629    10805    15167
12    39997    34428    33070    32173    31348    30371    28303    39997
13   104631    90454    87160    84907    82710    80008    74425   104631
14   275781   237656   228595   222581   216894   209944   195349   275781
15   722779   623375   600179   584851   570265   552128   513701   722779
16  1904651  1641427  1580021  1540037  1501901  1453657  1350840  1904651
17  4998719  4301564  4139886  4037061  3940440  3817632  3551292  4998719
18 13170051 11344286 10924841 10658614 10404229 10071431  9349856 13170051
19 34599279 29724549 28598330 27907239 27264498 26426833 24575694 34599279
20 91145033 78462343 75579692 73796687 72089902 69792186 64750185 91145033
