#N    (0,-1)    (1,0)    (2,0)    (3,1)    (4,1)     (5,1)
#-  -------- -------- -------- -------- --------  --------
10      6401     4490     5866     4210     5452      6401
11     16638    11713    15348    10992    14337     16638
12     44080    30891    40401    29068    37552     44080
13    114858    80803   105913    75915    99042    114858
14    304158   213077   278835   200634   259384    304158
15    794394   558408   731822   524803   684203    794394
16   2100735  1472068  1927059  1385940  1793931   2100735
17   5498991  3862937  5062169  3631199  4729965   5498991
18  14522643 10179727 13331180  9582690 12417540  14522643
19  38084535 26741283 35042008 25144326 32723950  38084535
20 100483140 70448911 92289585 66309832 86006998 100483140
