#N   (0,-1)    (1,0)    (2,1)    (3,2)    (4,3)    (5,3)    (6,4)    (7,5)    (8,6)    (9,6)
#- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     5829     4976     4715     4482     4113     5801     4926     4600     4186     5829
11    15335    12982    12285    11712    10805    15027    12698    11888    10888    15335
12    40193    34246    32510    30944    28317    39829    33826    31729    28932    40193
13   105953    89436    84612    80773    74439   103663    87416    82058    75246   105953
14   277561   236180   224239   213549   195389   274383   232928   218899   199814   277561
15   732143   617854   584561   557936   513741   716471   604018   567296   520254   732143
16  1918495  1630915  1547851  1474489  1349997  1894289  1607073  1510712  1379927  1918495
17  5061231  4273963  4045011  3859462  3550840  4957433  4181081  3926857  3599336  5061231
18 13270209 11270477 10693429 10190075  9336624 13095735 11100825 10433989  9534875 13270209
19 35007255 29584730 28013256 26725033 24571431 34326247 28966018 27203361 24918364 35007255
20 91851015 77937808 73939073 70488585 64625590 90625975 76749816 72127466 65932019 91851015
