#N   (0,-1)    (1,0)    (2,1)    (3,2)    (4,2)    (5,3)    (6,4)    (7,4)    (8,5)    (9,6)   (10,6)
#- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     5875     4935     4581     4118     5765     4792     4236     5825     4820     4290     5875
11    15510    12844    11892    10810    14930    12310    10986    15245    12447    11073    15510
12    40552    33924    31469    28354    39558    32790    29079    40085    33153    29498    40552
13   106941    88693    82173    74476   103131    85033    75777   105171    86221    76697   106941
14   280367   233678   216757   195634   272286   225307   200204   276442   228376   203262   280367
15   738401   613073   568215   514045   712894   588140   523688   726296   597061   531201   738401
16  1939527  1613347  1496154  1351474  1879222  1553036  1381294  1909982  1575743  1402844  1939527
17  5103646  4240174  3930391  3552874  4931651  4070462  3622713  5021038  4133186  3677922  5103646
18 13421844 11155988 10343552  9346108 12991917 10729564  9545494 13210892 10889250  9693969 13421844
19 35302300 29337668 27197629 24580120 34139503 28181898 25075288 34740568 28610637 25462264 35302300
20 92910747 77214336 71591901 64693788 89918389 74240130 66043898 91445061 75337009 67055569 92910747
