#N   (0,-1)    (1,0)    (2,1)    (3,2)    (4,3)    (5,4)    (6,5)    (7,6)    (8,6)
#- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     5815     4990     4779     4661     4588     4524     4409     4113     5815
11    15167    13136    12723    12505    12296    12026    11629    10805    15167
12    39997    34428    33112    32341    31740    31152    30329    28303    39997
13   104631    90586    87664    85931    84310    82486    79966    74425   104631
14   275781   237788   229183   224035   219670   215236   209266   195217   275781
15   722779   625223   604344   591749   580366   568093   551366   513569   722779
16  1904651  1643539  1585630  1551017  1521008  1489736  1447174  1348860  1904651
17  4997861  4317620  4170232  4082366  4005034  3922809  3809441  3549048  4997861
18 13169193 11365376 10970225 10737127 10534907 10320095 10021546  9332498 13169193
19 34588961 29837900 28804997 28202901 27683854 27132064 26357004 24553302 34588961
20 91133857 78630914 75916863 74344875 72989584 71529681 69450355 64624894 91133857
