#N   (0,-1)    (1,0)    (2,1)    (3,1)
#- -------- -------- -------- --------
10     5825     4801     4236     5825
11    15245    12428    11009    15245
12    40085    32926    29102    40085
13   105171    85956    76071   105171
14   276599   226678   200544   276599
15   726453   594410   525846   726453
16  1911499  1564944  1384601  1911499
17  5022679  4110965  3636743  5022679
18 13221791 10822001  9573509 13221791
19 34756503 28444044 25165116 34756503
20 91517563 74907244 66257009 91517563
