#N    (0,0)    (1,1)    (2,2)    (3,2)    (4,3)    (5,3)
#- -------- -------- -------- -------- -------- --------
10     4136     4773     5961     4455     5707     4136
11    10923    12577    15739    11520    14819    10923
12    28533    32815    41051    30556    39327    28533
13    75402    86700   108349    79522   102443    75402
14   197099   226530   283305   210587   271423   197099
15   520720   598272   747984   549409   708154   520720
16  1362563  1566226  1958246  1454418  1875056  1362563
17  3598836  4134233  5171105  3799738  4899003  3598836
18  9426562 10836315 13548093 10055520 12963973  9426562
19 24894331 28600479 35778044 26301653 33917400 24894331
20 65259651 75013396 93796452 69570443 89704470 65259651
