#N   (0,-1)    (1,0)    (2,1)    (3,1)    (4,2)    (5,2)    (6,3)    (7,3)
#- -------- -------- -------- -------- -------- -------- -------- --------
10     6047     4785     4129     5639     4348     5847     4495     6047
11    15839    12559    10832    14737    11359    15317    11751    15839
12    41658    32974    28458    38832    29898    40279    30887    41658
13   109085    86501    74692   101831    78394   105615    81004   109085
14   287173   227719   196666   268173   206355   277971   212898   287173
15   752600   596808   516092   704538   541760   729595   558859   752600
16  1982406  1573845  1360389  1854400  1426237  1920733  1469454  1982406
17  5199758  4124980  3569934  4877870  3748104  5045855  3861310  5199758
18 13703359 10883853  9414990 12831529  9866140 13285223 10154320 13703359
19 35966814 28543929 24711278 33781814 25947747 34923985 26709683 35966814
20 94821070 75318396 65183486 88838794 68293208 91963105 70247483 94821070
