#N    (0,0)    (1,1)    (2,2)    (3,3)    (4,4)    (5,5)    (6,6)    (7,7)    (8,8)    (9,9)   (10,9)
#- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     4113     4409     4524     4574     4588     4602     4661     4779     4990     5815     4113
11    10805    11629    12026    12282    12422    12478    12547    12723    13136    15167    10805
12    28303    30329    31110    31502    31712    31950    32383    33112    34428    39997    28303
13    74425    79966    82444    84044    85110    85838    86567    87796    90586   104631    74425
14   195217   209134   214426   217334   219466   221712   224755   229315   237788   275781   195217
15   513569   551234   567199   577432   585092   591429   597762   606621   625652   722779   513569
16  1348431  1444336  1480844  1502360  1519823  1537597  1558738  1588171  1643968  1904651  1348431
17  3548619  3806339  3911945  3979212  4032708  4080685  4129769  4194153  4325914  4997861  3548619
18  9323775  9987171 10242699 10399029 10529286 10658804 10804602 11000038 11374528 13169193  9323775
19 24543721 26315879 27028832 27479732 27847082 28189186 28546800 29009274 29930256 34586101 24543721
20 64526081 69132751 70928304 72042487 72970401 73877946 74876500 76196358 78744126 91130997 64526081
