#N    (0,0)    (1,1)    (2,2)    (3,3)    (4,4)    (5,5)    (6,6)    (7,7)    (8,7)
#- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     4113     4409     4524     4588     4661     4779     4990     5815     4113
11    10805    11629    12026    12296    12505    12723    13136    15167    10805
12    28303    30329    31152    31740    32341    33112    34428    39997    28303
13    74425    79966    82486    84310    85931    87664    90586   104631    74425
14   195217   209266   215236   219670   224035   229183   237788   275781   195217
15   513569   551366   568093   580366   591749   604344   625223   722779   513569
16  1348860  1447174  1489736  1521008  1551017  1585630  1643539  1904651  1348860
17  3549048  3809441  3922809  4005034  4082366  4170232  4317620  4997861  3549048
18  9332498 10021546 10320095 10534907 10737127 10970225 11365376 13169193  9332498
19 24553302 26357004 27132064 27683854 28202901 28804997 29837900 34588961 24553302
20 64624894 69450355 71529681 72989584 74344875 75916863 78630914 91133857 64624894
