#N    (0,0)    (1,1)    (2,2)    (3,3)    (4,3)    (5,4)    (6,5)    (7,5)
#- -------- -------- -------- -------- -------- -------- -------- --------
10     4118     4581     4935     5875     4290     4811     5765     4118
11    10810    11892    12844    15510    11050    12329    14930    10810
12    28354    31469    33924    40486    29475    33017    39624    28354
13    74542    82173    88693   106875    76337    85298   103197    74542
14   195700   216757   233542   279315   202856   227141   273181   195700
15   515167   568508   612937   737217   527921   590634   713921   515167
16  1352728  1496070  1610752  1929861  1398660  1566137  1887371  1352728
17  3564340  3935238  4238451  5091368  3652803  4090326  4942288  3564340
18  9359372 10341201 11129177 13347084  9658563 10818958 13055778  9359372
19 24674859 27245337 29325551 35201954 25284324 28328519 34227522 24674859
20 64798983 71563384 76996967 92379688 66786391 74838511 90380554 64798983
