#N    (0,0)    (1,1)    (2,2)    (3,2)    (4,3)    (5,3)    (6,4)    (7,4)
#- -------- -------- -------- -------- -------- -------- -------- --------
10     4129     4785     6047     4495     5847     4348     5639     4129
11    10832    12559    15839    11751    15317    11359    14737    10832
12    28458    32974    41658    30887    40279    29898    38832    28458
13    74692    86501   109085    81004   105615    78394   101831    74692
14   196666   227719   287173   212898   277971   206355   268173   196666
15   516092   596808   752600   558859   729595   541760   704538   516092
16  1360389  1573845  1982406  1469454  1920733  1426237  1854400  1360389
17  3569934  4124980  5199758  3861310  5045855  3748104  4877870  3569934
18  9414990 10883853 13703359 10154320 13285223  9866140 12831529  9414990
19 24711278 28543929 35966814 26709683 34923985 25947747 33781814 24711278
20 65183486 75318396 94821070 70247483 91963105 68293208 88838794 65183486
