#N    (0,0)    (1,1)    (2,1)    (3,2)    (4,2)    (5,3)    (6,3)
#- -------- -------- -------- -------- -------- -------- --------
10     4393     5865     4393     5865     4393     5865     4393
11    11511    15335    11511    15335    11511    15335    11511
12    30283    40391    30283    40391    30283    40391    30283
13    79374   105855    79374   105855    79374   105855    79374
14   208982   278705   208982   278705   208982   278705   208982
15   548441   731541   548441   731541   548441   731541   548441
16  1443722  1925913  1443722  1925913  1443722  1925913  1443722
17  3793127  5059797  3793127  5059797  3793127  5059797  3793127
18  9985045 13322265  9985045 13322265  9985045 13322265  9985045
19 26250693 35021167 26250693 35021167 26250693 35021167 26250693
20 69114228 92222067 69114228 92222067 69114228 92222067 69114228
