#N    (0,0)    (1,1)    (2,2)    (3,3)    (4,4)    (5,4)    (6,5)    (7,6)    (8,7)    (9,7)
#- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     4113     4482     4715     4976     5829     4186     4600     4926     5801     4113
11    10805    11712    12285    12982    15335    10888    11888    12698    15027    10805
12    28317    30944    32510    34246    40193    28932    31729    33826    39829    28317
13    74439    80773    84612    89436   105953    75246    82058    87416   103663    74439
14   195389   213549   224239   236180   277561   199814   218899   232928   274383   195389
15   513741   557936   584561   617854   732143   520254   567296   604018   716471   513741
16  1349997  1474489  1547851  1630915  1918495  1379927  1510712  1607073  1894289  1349997
17  3550840  3859462  4045011  4273963  5061231  3599336  3926857  4181081  4957433  3550840
18  9336624 10190075 10693429 11270477 13270209  9534875 10433989 11100825 13095735  9336624
19 24571431 26725033 28013256 29584730 35007255 24918364 27203361 28966018 34326247 24571431
20 64625590 70488585 73939073 77937808 91851015 65932019 72127466 76749816 90625975 64625590
