#N   (0,-1)    (1,0)    (2,1)    (3,2)    (4,3)    (5,3)
#- -------- -------- -------- -------- -------- --------
10     5815     4976     4715     4482     4127     5815
11    15167    12954    12285    11712    10819    15167
12    39997    34218    32510    31000    28499    39997
13   104715    89016    84536    80829    74649   104715
14   275865   235704   224365   214339   196917   275865
15   723747   614133   583435   558611   515783   723747
16  1905703  1626839  1549544  1481467  1361150  1905703
17  5006165  4246558  4035149  3864343  3566804  5006165
18 13178717 11243065 10708352 10241055  9413000 13178717
19 34648831 29400471 27941841 26754837 24683551 34648831
20 91206907 77762761 74050142 70830748 65130952 91206907
