#N    (0,-1)    (1,0)    (2,0)    (3,0)    (4,1)    (5,1)    (6,1)     (7,1)
#-  -------- -------- -------- -------- -------- -------- --------  --------
10      6630     4367     5556     6315     4194     5327     6009      6630
11     17321    11458    14530    16528    11005    13931    15721     17321
12     45658    30132    38233    43618    28967    36712    41396     45658
13    119386    78936   100427   114080    75994    96366   108524    119386
14    314939   208093   263733   301401   200393   253605   285779    314939
15    824654   544903   694472   788581   525521   666923   750235    824654
16   2175987  1438119  1822126  2084515  1386640  1753920  1975851   2175987
17   5704726  3766995  4804640  5456272  3636940  4616293  5191110   5704726
18  15051518  9947171 12604969 14423409  9597250 12139316 13672691  15051518
19  39498083 26072496 33256891 37780195 25183267 31964684 35941980  39498083
20 104196014 68851844 87281090 99843304 66448571 84065789 94673130 104196014
