#N    (0,0)    (1,1)    (2,2)    (3,3)    (4,4)    (5,5)    (6,6)    (7,7)    (8,8)    (9,8)
#- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     4113     4409     4524     4574     4602     4661     4779     4990     5815     4113
11    10805    11629    12026    12282    12436    12547    12723    13136    15167    10805
12    28303    30329    31110    31544    31908    32383    33112    34428    39997    28303
13    74425    79966    82444    84086    85334    86435    87796    90586   104631    74425
14   195217   209134   214558   218012   221124   224623   229315   237788   275781   195217
15   513569   551234   567331   578194   587264   595914   606192   625652   722779   513569
16  1348431  1444765  1483253  1508843  1531988  1556626  1587742  1643968  1904651  1348431
17  3548619  3806768  3914618  3987403  4050339  4112712  4187289  4324484  4997861  3548619
18  9325205  9995894 10268351 10450773 10613420 10782511 10992316 11373098 13169193  9325205
19 24545151 26325460 27060376 27551420 27979516 28412571 28939226 29904516 34586101 24545151
20 64553251 69234996 71149955 72422213 73537772 74685049 76108314 78715526 91130997 64553251
