#N   (0,-1)    (1,0)    (2,1)    (3,1)    (4,2)    (5,2)    (6,3)    (7,3)    (8,4)    (9,4)
#- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
10     6047     4785     4129     5639     4341     5779     4388     5933     4507     6047
11    15869    12559    10832    14707    11268    15235    11590    15417    11763    15869
12    41688    32974    28428    38802    29793    39784    30229    40886    31076    41688
13   109585    86556    74662   101419    77654   104918    79876   106464    81217   109585
14   287733   227631   196141   267701   205367   274636   208779   281952   214559   287733
15   757148   597776   515650   700840   536517   724368   551150   735918   561010   757148
16  1987637  1572505  1355210  1850020  1418404  1898821  1443219  1946350  1481761  1987637
17  5233596  4134233  3566577  4849819  3712637  5008599  3808172  5090642  3878566  5233596
18 13741321 10871365  9374836 12800644  9809388 13142286  9983936 13450599 10238832 13741321
19 36196712 28614211 24691694 33588023 25712961 34663652 26337922 35233853 26831451 36196712
20 95070188 75223536 64905259 88645712 67903775 91028300 69114970 93038456 70805322 95070188
