#theta      N=10          N=11          N=12          N=13           N=14           N=15            N=16            N=17             N=18             N=19             N=20             
#---------- ------------- ------------- ------------- -------------- -------------- --------------- --------------- ---------------- ---------------- ---------------- -----------------
 33.6900675 9559.6000000  24847.6000000 65656.4000000 171690.0000000 452417.2000000 1186786.0000000 3124235.6000000 8207238.0000000  21605124.4000000 56789929.2000000 149538427.6000000
 34.9920202 9530.4705882  24754.0000000 65497.5294118 170986.2352941 451238.9411765 1182169.0588235 3114884.1176471 8177856.3529412  21533235.6470588 56596868.1176471 149014995.1764706
 35.5376778 9518.3333333  24715.0000000 65431.3333333 170693.0000000 450748.0000000 1180245.3333333 3110987.6666667 8165995.3333333  21502900.6666667 56524442.6666667 148788119.0000000
 36.8698976 9488.8571429  24620.2857143 65308.2857143 169943.1428571 450121.4285714 1174932.2857143 3106411.1428571 8130988.8571429  21464011.7142857 56302179.1428571 148461646.5714286
 37.8749837 9453.2500000  24609.7500000 65128.7500000 169697.0000000 449242.5000000 1172491.7500000 3101839.0000000 8111470.5000000  21435816.5000000 56162236.0000000 148259713.0000000
 38.6598083 9425.5555556  24601.5555556 64989.1111111 169505.5555556 448558.8888889 1170593.5555556 3098600.6666667 8095971.7777778  21419924.6666667 56046718.0000000 148168025.1111111
 39.8055711 9380.1818182  24645.6363636 64719.8181818 169602.7272727 447055.0909091 1170069.2727273 3090491.0909091 8086215.4545455  21377244.5454545 55949379.8181818 147944817.6363636
 40.6012946 9348.7692308  24689.0769231 64520.4615385 169839.8461538 445818.3076923 1171042.6153846 3083141.0769231 8088379.8461538  21334856.1538462 55937471.5384615 147705695.8461539
 41.1859252 9325.7333333  24720.9333333 64374.2666667 170048.9333333 444876.1333333 1172293.2000000 3077143.8666667 8094794.8000000  21297698.8000000 55964400.6666667 147481091.8666667
 41.6335393 9308.1176471  24745.2941176 64262.4705882 170208.8235294 444155.6470588 1173350.4705882 3072456.8235294 8101450.0000000  21267332.8235294 56002655.6470588 147287664.5882353
 41.9872125 9294.2105263  24764.5263158 64174.2105263 170335.0526316 443586.8421053 1174185.1578947 3068756.5263158 8107005.1578947  21243058.6315789 56038697.3684211 147128516.3157895
 45.0000000 9176.0000000  24928.0000000 63424.0000000 171408.0000000 438752.0000000 1181280.0000000 3037304.0000000 8154224.0000000  21036728.0000000 56354776.0000000 145766032.0000000
