#theta      N=21             N=23              N=25               N=27                N=29                N=31                 N=33                  N=35                   N=37                    N=39                     N=41                    
#---------- ---------------- ----------------- ------------------ ------------------- ------------------- -------------------- --------------------- ---------------------- ----------------------- ------------------------ ------------------------
 18.4349488 25754381.0000000 178989908.2500000 1224782052.0000000 8520483368.2500000  58437388330.0000000 406676098478.2500000 2793924519525.0000000 19448580560404.0000000 133802082026448.2500000 931509080700111.0000000  6415946389246479.0000000
 20.5560452 25184491.7272727 172993766.8181818 1196327178.6363637 8233965902.4545450  57038373169.8181839 392994676136.1818237 2725733525390.1816406 18797488306703.0000000 130473738041665.8125000 900536212147312.0000000  6253470777307864.0000000
 21.8014095 24871886.2857143 169765743.0000000 1180674477.4285715 8090386238.8571424  56236652003.7142868 386479051424.7142944 2685013341203.5712891 18496042277896.4296875 128434450511131.4218750 886428058750337.7500000  6152793770743819.0000000
 23.1985905 24458476.0000000 167324816.3000000 1159473951.5999999 7974244384.1000004  55198375259.5999985 380882668194.9000244 2635915427569.7001953 18221356557932.1992188 126136230960830.9062500 872889409025611.2500000  6044831128613434.0000000
 23.9624890 24260378.8461538 166038647.7692308 1150406344.4615386 7908236076.7692308  54768671097.2307663 377534232981.2307739 2615405437940.4614258 18054828758894.6171875 125153692391846.0781250 864787041217512.2500000  5997384960284528.0000000
 26.5650512 23609446.3333333 161848497.0000000 1121127131.6666667 7701500472.0000000  53387377648.0000000 367733895214.3333130 2548433049885.3334961 17590905889522.3339844 121915984901958.3281250 842586229939237.0000000  5841496814191512.0000000
 26.5650512 23609446.3333333 161848497.0000000 1121127131.6666667 7701500472.0000000  53387377648.0000000 367733895214.3333130 2548433049885.3334961 17590905889522.3339844 121915984901958.3281250 842586229939237.0000000  5841496814191513.0000000
 29.0546041 23127711.0714286 158542388.2142857 1096490749.7857144 7538842151.8571424  52218449237.8571396 359636483759.1428833 2492387850453.7143555 17198782103335.3574219 119189554025841.2187500 823798254130932.2500000  5709186489672689.0000000
 29.7448813 22997774.8181818 157656595.5454545 1089935426.5454545 7496081676.8181820  51922998073.0000000 357505238027.2727051 2479371712285.5454102 17093886945882.1816406 118594681363633.5468750 818741311398005.8750000  5680963088255761.0000000
 30.9637565 22783696.5000000 156364053.1250000 1078635267.6250000 7443469046.5000000  51369371675.1250000 354994605734.6250000 2453407035011.0000000 16967064732812.1250000 117372556562767.1250000 812406530274059.5000000  5622694885539448.0000000
 32.0053832 22715854.2307692 154950226.3846154 1073815821.6923077 7381629747.8461542  51084879693.1538467 352113393671.3846436 2438993905173.1538086 16828023820068.5390625 116685160669464.0000000 805662672459583.7500000  5589942310693009.0000000
 33.6900675 22614614.6000000 152751859.6000000 1066730744.0000000 7293375594.0000000  50648256212.0000000 348492859659.2000122 2415204526324.3999023 16666692998841.8007812 115496524771251.4062500 797992366422168.0000000  5532943014824013.0000000
 34.9920202 22481739.4705882 151650920.2352941 1061799037.2352941 7235384096.7647057  50396572114.1764679 345859066956.1764526 2401363526496.7060547 16550954807527.5878906 114756954747155.4062500 792744049543421.5000000  5495572653552515.0000000
 35.5376778 22426582.6666667 151195248.4166667 1059779849.3333334 7211569654.4166670  50294935548.5000000 344790214646.5000000 2395845476669.7500000 16506125409883.3339844 114460379186353.2500000 790880917415371.8750000  5480173984842816.0000000
 36.8698976 22300300.5714286 150160546.8571429 1056533844.7142857 7154290223.4285717  50190519385.2857132 341953272203.4285889 2390470674535.2856445 16376642716328.1425781 114126735800376.0000000 785219762147789.7500000  5459981892560016.0000000
 37.8749837 22141807.6875000 150104849.6875000 1051206651.4375000 7137550798.8750000  50019606795.8750000 340729282614.9375000 2384655438933.3125000 16307099232294.2500000 113885855425377.5000000 781740125239245.0000000  5448020225990310.0000000
 38.6598083 22018918.1111111 150066862.1111111 1047126963.3333334 7125117261.1111107  49892708617.0000000 339828581711.2222290 2381015431362.0000000 16254937690420.7773438 113782734237530.4375000 779004813873152.5000000  5444419683692325.0000000
 39.8055711 21828770.8181818 150727512.6363636 1039245977.0000000 7138791846.4545450  49595628034.6363602 339803728809.0908813 2370484397032.0000000 16230294901221.9082031 113428601263244.4531250 777035168027966.8750000  5432970828844096.0000000
 40.6012946 21705381.3076923 151390809.3076923 1033726317.1538461 7164000451.0000000  49356080397.1538467 340597778141.0000000 2360759946430.5385742 16249856931934.8457031 113053804850446.4687500 777245333006117.1250000  5419160517110140.0000000
 41.1859252 21617144.8000000 151903658.9333333 1029877390.8000000 7186807007.3333330  49182480680.9333344 341542518056.1333618 2353039849355.4667969 16285145284216.5332031 112724636128328.2031250 778433075025892.5000000  5405699157145895.0000000
 41.6335393 21550260.0000000 152305117.6470588 1026997226.0000000 7204957025.0588236  49054900509.5294113 342362891553.0588379 2347264689849.0585938 16320838357629.4707031 112463779883283.6406250 779892991897156.2500000  5394216568804053.0000000
 41.9872125 21497563.7894737 152624953.0526316 1024743465.5789474 7219561837.7894735  48956031520.3157883 343030695426.3157959 2342848421503.6313477 16351392474061.8945312 112262970766793.3750000 781262811864757.8750000  5385059236107497.0000000
 45.0000000 21049744.0000000 155351296.0000000 1005650944.0000000 7345175616.0000000  48125829376.0000000 348855609600.0000000 2306303897104.0000000 16622842260544.0000000 110635981236496.0000000 793965194502544.0000000  5311934021256256.0000000
