#N          theta=0.0000      theta=5.7106      theta=6.3402      theta=7.1250      theta=8.1301      theta=9.4623      theta=11.3099     theta=12.5288     theta=14.0362     theta=15.9454     theta=16.6992     theta=18.4349     theta=20.5560     theta=21.8014     theta=23.1986     theta=23.9625     theta=26.5651     theta=26.5651     theta=29.0546     theta=29.7449     theta=30.9638     theta=32.0054     theta=33.6901     theta=34.9920     theta=35.5377     theta=36.8699     theta=37.8750     theta=38.6598     theta=39.8056     theta=40.6013     theta=41.1859     theta=41.6335     theta=41.9872     theta=45.0000    
#---------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- -----------------
 10.0000000 12398.0000000     11536.5454545     11450.4000000     11345.5555556     11214.0000000     11061.4285714     10842.0000000     10740.1818182     10618.0000000     10435.3333333     10363.8461538     10203.0000000     10095.4545455     10034.0000000     9949.2000000      9907.2307692      9767.3333333      9767.3333333      9671.1428571      9644.9090909      9599.0000000      9583.8461538      9559.6000000      9530.4705882      9518.3333333      9488.8571429      9453.2500000      9425.5555556      9380.1818182      9348.7692308      9325.7333333      9308.1176471      9294.2105263      9176.0000000     
 11.0000000 32450.0000000     30194.3636364     29969.2000000     29693.5555556     29367.5000000     28930.5714286     28472.0000000     28126.7272727     27716.4000000     27323.7777778     27198.6153846     26917.0000000     26461.2727273     26209.4285714     26022.8000000     25918.6153846     25571.3333333     25571.3333333     25321.7142857     25253.6363636     25149.5000000     25033.3846154     24847.6000000     24754.0000000     24715.0000000     24620.2857143     24609.7500000     24601.5555556     24645.6363636     24689.0769231     24720.9333333     24745.2941176     24764.5263158     24928.0000000    
 12.0000000 85622.0000000     79565.2727273     78959.6000000     78239.7777778     77320.5000000     76316.8571429     74816.0000000     74064.9090909     73159.6000000     71958.8888889     71468.7692308     70366.0000000     69584.1818182     69128.8571429     68498.4000000     68222.9230769     67304.6666667     67304.6666667     66594.2857143     66400.5454545     66046.5000000     65896.4615385     65656.4000000     65497.5294118     65431.3333333     65308.2857143     65128.7500000     64989.1111111     64719.8181818     64520.4615385     64374.2666667     64262.4705882     64174.2105263     63424.0000000    
 13.0000000 224570.0000000    208662.3636364    207094.0000000    205155.7777778    202981.0000000    199963.7142857    196699.3333333    194289.6363636    191527.6000000    188587.3333333    187693.0769231    185703.0000000    182548.9090909    180928.2857143    179641.2000000    178876.7692308    176402.0000000    176402.0000000    174616.5714286    174129.6363636    173510.0000000    172779.5384615    171690.0000000    170986.2352941    170693.0000000    169943.1428571    169697.0000000    169505.5555556    169602.7272727    169839.8461538    170048.9333333    170208.8235294    170335.0526316    171408.0000000   
 14.0000000 592102.0000000    549656.9090909    545416.0000000    540567.7777778    534212.5000000    527306.0000000    516940.0000000    511542.0000000    504926.8000000    496984.2222222    493633.6923077    486073.0000000    480480.1818182    477085.4285714    472605.2000000    470739.2307692    464446.0000000    464446.0000000    459568.0000000    458289.6363636    455790.0000000    454523.2307692    452417.2000000    451238.9411765    450748.0000000    450121.4285714    449242.5000000    448558.8888889    447055.0909091    445818.3076923    444876.1333333    444155.6470588    443586.8421053    438752.0000000   
 15.0000000 1554822.0000000   1443160.5454545   1432440.0000000   1418950.8888889   1404148.0000000   1383294.0000000   1359932.0000000   1343114.7272727   1324657.2000000   1303491.7777778   1296952.4615385   1282916.0000000   1261110.3636364   1250526.0000000   1241488.4000000   1235911.8461538   1218948.6666667   1218948.6666667   1206068.5714286   1202503.8181818   1198235.0000000   1193303.8461538   1186786.0000000   1182169.0588235   1180245.3333333   1174932.2857143   1172491.7500000   1170593.5555556   1170069.2727273   1171042.6153846   1172293.2000000   1173350.4705882   1174185.1578947   1181280.0000000  
 16.0000000 4098050.0000000   3801508.5454545   3771988.4000000   3739158.8888889   3695310.5000000   3646738.0000000   3574982.0000000   3537242.7272727   3489933.2000000   3435981.5555556   3413162.3076923   3361098.0000000   3321474.3636364   3296497.4285714   3265806.4000000   3253000.1538462   3208904.6666667   3208904.6666667   3175003.7142857   3166798.0000000   3149929.0000000   3140635.5384615   3124235.6000000   3114884.1176471   3110987.6666667   3106411.1428571   3101839.0000000   3098600.6666667   3090491.0909091   3083141.0769231   3077143.8666667   3072456.8235294   3068756.5263158   3037304.0000000  
 17.0000000 10769710.0000000  9988638.3636364   9915693.2000000   9822300.2222222   9719556.0000000   9575144.8571429   9409676.6666667   9292723.0909091   9167494.8000000   9017980.2222222   8970083.2307692   8871697.0000000   8721680.5454545   8651256.2857143   8586774.0000000   8546738.0000000   8430700.6666667   8430700.6666667   8340432.2857143   8314934.3636364   8283930.5000000   8249389.6923077   8207238.0000000   8177856.3529412   8165995.3333333   8130988.8571429   8111470.5000000   8095971.7777778   8086215.4545455   8088379.8461538   8094794.8000000   8101450.0000000   8107005.1578947   8154224.0000000  
 18.0000000 28381018.0000000  26314020.9090909  26109477.2000000  25884002.0000000  25580801.5000000  25237499.7142857  24742064.0000000  24479604.9090909  24145717.2000000  23773498.8888889  23619058.9230769  23260502.0000000  22979911.4545455  22798913.4285714  22591227.6000000  22502543.8461538  22194903.3333333  22194903.3333333  21955937.7142857  21901584.9090909  21787215.0000000  21722892.4615385  21605124.4000000  21533235.6470588  21502900.6666667  21464011.7142857  21435816.5000000  21419924.6666667  21377244.5454545  21334856.1538462  21297698.8000000  21267332.8235294  21243058.6315789  21036728.0000000 
 19.0000000 74627954.0000000  69178499.8181818  68678790.4000000  68032379.7777778  67312902.5000000  66313496.8571429  65150066.0000000  64339487.8181818  63476889.2000000  62434079.7777778  62086778.6153846  61397097.0000000  60366526.3636364  59891917.4285714  59431310.0000000  59149712.7692308  58348368.6666667  58348368.6666667  57722674.0000000  57545070.3636364  57322092.5000000  57079489.0769231  56789929.2000000  56596868.1176471  56524442.6666667  56302179.1428571  56162236.0000000  56046718.0000000  55949379.8181818  55937471.5384615  55964400.6666667  56002655.6470588  56038697.3684211  56354776.0000000 
